transaction_id,user_id,timestamp,amount,amount_zscore_user,amount_vs_user_avg_ratio,kyc_tier,sender_account_age_days,recipient_account_age_days,is_new_recipient,is_very_new_recipient_and_large_amount,recipient_txn_count_last_24h,recipient_unique_senders_last_24h,is_new_device,sim_change_flag,sender_state_change_flag,txn_count_last_1h,txn_count_last_24h,txn_count_last_7d,time_since_last_txn_min,hour_of_day,day_of_week,is_odd_hour,txn_type_AIRTIME_TOPUP,txn_type_BILL_PAYMENT,txn_type_CASH_OUT,txn_type_MERCHANT_PAYMENT,txn_type_P2P_TRANSFER,is_fraud,fraud_type
T6bdb6e4c22,U01064,2026-01-01 00:12:33,4674.97,0.0,1.0937342080143744,1,130,1206,0,0,0,0,0,0,0,1,1,0,1471.5890053586277,0,3,1,True,False,False,False,False,0,NONE
T34a18afdd3,U00293,2026-01-01 00:51:16,1146.37,0.0,0.9526409387049595,2,2,37,0,0,0,0,0,0,0,0,3,0,2435.295779412034,0,3,1,True,False,False,False,False,0,NONE
T8631410ed7,U01684,2026-01-01 01:08:31,2713.12,0.0,2.6269558481797057,2,632,1850,0,0,0,0,0,0,0,0,6,0,661.4156110050668,1,3,1,False,False,False,False,True,0,NONE
Tcaebbc5265,U00729,2026-01-01 01:29:21,5739.9,0.0,1.5656863226461104,2,648,1697,0,0,0,0,0,0,0,1,2,0,1961.4056348404076,1,3,1,False,False,False,False,True,0,NONE
T06da2af8be,U01969,2026-01-01 01:34:12,9198.98,0.0,1.0610897908383192,1,14,733,0,0,0,0,0,0,0,0,1,0,7.369921682255535,1,3,1,False,False,False,False,True,0,NONE
T48a83cc95e,U00087,2026-01-01 01:44:21,6478.58,0.0,1.7703214876145974,1,186,1082,0,0,0,0,0,0,0,0,2,0,1178.374085735927,1,3,1,False,False,False,True,False,0,NONE
Tfd52278f38,U01829,2026-01-01 02:04:10,12441.15,0.0,1.289390663767533,3,160,482,0,0,0,0,0,0,0,0,2,0,330.38871274283355,2,3,1,False,True,False,False,False,0,NONE
T0fc24a4244,U01609,2026-01-01 02:27:15,1880.08,0.0,0.4745411911991499,3,1274,1307,0,0,0,0,0,0,0,0,1,0,806.899037592254,2,3,1,True,False,False,False,False,0,NONE
T5d807ea387,U01678,2026-01-01 02:41:26,1417.31,0.0,0.498929841236315,1,1117,46,0,0,0,0,0,0,0,0,3,0,1133.722416888113,2,3,1,True,False,False,False,False,0,NONE
Tf0f62349de,U01196,2026-01-01 02:41:46,883.62,0.0,0.5151672389969741,2,1154,1284,0,0,0,0,0,0,0,1,2,0,2513.9634260622943,2,3,1,False,False,False,False,True,0,NONE
T25d3cdeefc,U01361,2026-01-01 02:43:29,4761.17,0.0,1.3216624426425643,2,1386,730,0,0,0,0,0,0,0,0,1,0,1101.538211290254,2,3,1,False,False,False,False,True,0,NONE
T439007b9f6,U00331,2026-01-01 03:03:24,5642.36,0.0,1.931237014953981,1,629,156,0,0,0,0,0,0,0,0,4,0,369.0153886054615,3,3,1,False,True,False,False,False,0,NONE
T67a22d3af0,U01793,2026-01-01 03:20:14,2167.3,0.0,0.33319394522662354,1,1145,307,0,0,0,0,0,0,0,2,4,0,274.8404516377392,3,3,1,False,False,False,True,False,0,NONE
T2f312714a2,U00899,2026-01-01 03:55:02,1200.44,0.0,0.9300185160795494,2,1127,611,0,0,0,0,0,0,0,0,0,0,663.2390906365916,3,3,1,False,False,False,True,False,0,NONE
Te377776be5,U00808,2026-01-01 03:56:40,10164.66,0.0,0.8676375313371454,3,487,810,0,0,0,0,0,0,0,0,3,0,1002.4514023299154,3,3,1,False,True,False,False,False,0,NONE
T81e1d09f3e,U00149,2026-01-01 04:26:11,13087.26,0.0,0.701934128810694,1,1404,454,0,0,0,0,0,0,0,0,2,0,3410.4537848825057,4,3,1,False,False,False,False,True,0,NONE
Tc60279b2f7,U01902,2026-01-01 04:38:25,3359.72,0.0,0.6242535275121796,2,1019,1891,0,0,0,0,0,0,0,0,2,0,342.7951109755915,4,3,1,False,False,False,False,True,0,NONE
T51477761a5,U01815,2026-01-01 04:39:12,4967.6,0.0,1.9855389325669797,1,546,1862,0,0,0,0,1,0,0,0,1,0,923.0883379242184,4,3,1,False,True,False,False,False,0,NONE
T3078d16f4d,U01427,2026-01-01 04:45:04,11459.32,0.0,1.560090888174599,1,1496,1658,0,0,0,0,0,0,0,1,0,0,1406.4745630523014,4,3,1,False,False,False,True,False,0,NONE
Ta301983f31,U01606,2026-01-01 04:58:27,7101.84,0.0,0.5964218919143626,2,662,765,0,0,0,0,0,0,0,0,1,0,165.31884635890464,4,3,1,False,False,False,False,True,0,NONE
T0b65a96c87,U00199,2026-01-01 05:08:34,3028.25,0.0,1.3259408455021127,1,780,1283,0,0,0,0,0,1,0,0,6,0,64.18992084626586,5,3,0,False,False,False,False,True,0,NONE
T3ddfaafbca,U00184,2026-01-01 05:09:15,10302.06,0.0,1.5314288942172618,1,693,160,0,0,0,0,0,1,0,0,1,0,605.9708070574783,5,3,0,False,False,False,False,True,0,NONE
